name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
Everything Everything,Is Your Love Big Enough?,Lianne La Havas,5D1JdD0pAC937V1jdCrveU,2012-07-06,31,0.532,0.366,0.293,-8.523,1
Seven Times - Wu-Lu Remix,Seven Times (Wu-Lu Remix),Lianne La Havas,70loR1tsCdIYX4o6dWgOuz,2021-05-07,45,0.679,0.111,0.508,-28.013,1
Liar,Lost & Found,Lianne La Havas,1ZWDEGwUm2dJL06kkkfmCk,2012-04-27,32,0.445,0.263,0.263,-11.329,1
Needn't Speak (feat. Lianne La Havas),We the Generation,Rudimental,63DzV0xhu4rjafsSqrdWSm,2015-10-02,41,0.676,0.569,0.612,-9.096,0
"Forget - Live from Spotify, NYC",Spotify Sessions,Lianne La Havas,1gpyfbutOl79qgVjMrZQOe,2012-07-09,35,0.558,0.38,0.485,-12.971,1
Empty - In Paris,Is Your Love Big Enough? (Deluxe Edition),Lianne La Havas,1ToMAB6jOrFJ7si9Ldo2Py,2012-07-06,33,0.504,0.359,0.4,-7.376,1
Fairytale - Solo,Blood (Solo),Lianne La Havas,6gWcCJStzE7TyZu0Tsh0SC,2015-07-31,31,0.59,0.192,0.286,-13.215,1
Patterns,Patterns,Tourist,5e9xKDuGJFDnvyUUpzrUjE,2014-04-22,35,0.47,0.469,0.534,-9.44,1
Eggshells (feat. Lianne La Havas),10 Futures,Aqualung,56XKaRiQpQfzpi6cSEfTtk,2015-01-19,34,0.527,0.47,0.513,-10.26,1
Arms of Danger - Solo in Paris,Is Your Love Big Enough? (Deluxe Edition),Lianne La Havas,2EZRD9luAz9my5TKdA1CyP,2012-07-06,30,0.564,0.129,0.319,-12.244,1
There Is a Light That Never Goes Out - 2017 Master,The Queen Is Dead (Deluxe Edition),The Smiths,3mkS1alZdcdBQuIMad8aee,1986-06-16,57,0.513,0.77,0.849,-5.131,0
Heaven Knows I'm Miserable Now - 2011 Remaster,Louder Than Bombs,The Smiths,1H5N26VqHR4JhuaRKY2I0u,1987,67,0.609,0.759,0.774,-4.862,0
Reel Around the Fountain - 2011 Remaster,Complete,The Smiths,7iuIchnmtuvvI07Fsf9dWw,2011-09-26,38,0.67,0.571,0.899,-9.976,0
You've Got Everything Now - 2011 Remaster,Complete,The Smiths,44YNrK1HKWST0a6hKIyfG5,2011-09-26,36,0.514,0.792,0.835,-7.732,0
Miserable Lie - 2011 Remaster,Complete,The Smiths,7GXstAUWUSm9xrNJbwwYRY,2011-09-26,34,0.346,0.928,0.528,-6.549,0
Pretty Girls Make Graves - 2011 Remaster,Complete,The Smiths,3odeI3jAQlsgfwDiRfBuy5,2011-09-26,36,0.614,0.663,0.778,-9.059,0
The Hand That Rocks the Cradle - 2011 Remaster,Complete,The Smiths,50ua75COnb8Tj200EW5Dyb,2011-09-26,33,0.621,0.766,0.936,-10.043,0
This Charming Man - 2011 Remaster,Complete,The Smiths,0TcbsirlFw81kQUAdhdXPw,2011-09-26,39,0.611,0.846,0.751,-5.9,0
Still Ill - 2011 Remaster,Complete,The Smiths,6cKrw1ZfA0cLeiIXKBu7NF,2011-09-26,36,0.404,0.927,0.49,-7.568,0
Hand in Glove - 2011 Remaster,Complete,The Smiths,4Iby9UapWJmVS8SOJbx72u,2011-09-26,34,0.445,0.89,0.915,-7.242,0
What Difference Does It Make? - 2011 Remaster,Complete,The Smiths,4YE88VyRe31OBxQ5tlOPWW,2011-09-26,37,0.383,0.888,0.393,-6.503,0
